😀 grinning face	grinning face happy smile
🕰️ mantelpiece clock	mantelpiece clock antique time vintage grandfather
⏳ hourglass with flowing sand	hourglass sand time running out wait countdown patience
⌛ hourglass	hourglass done time expired finished wait
🔋 battery	battery power charge energy full charged
🪫 low battery	low battery dying empty power low almost dead
🔌 electric plug	electric plug outlet power socket connect electricity
💡 electric light bulb	light bulb idea bright innovation invention idea insight
🔦 electric torch	flashlight torch light beam camping search
🕯️ candle	candle flame light romantic cozy wax relaxation
🧯 fire extinguisher	fire extinguisher safety emergency put out flame
🛢️ oil drum	oil barrel fuel drum crude petrol industrial
💸 money with wings	money wings fly cash flying spending dollars lose
💵 banknote with dollar sign	dollar banknote cash usd money bill currency
💴 banknote with yen sign	yen banknote japan cash jpy currency
💶 banknote with euro sign	euro banknote cash eur currency europe money
💷 banknote with pound sign	pound banknote gbp uk cash sterling currency
💰 money bag	money bag rich cash coins wealth salary sack gold
💳 credit card	credit card payment debit bank shopping visa checkout
🧾 receipt	receipt invoice proof purchase total receipt paper bill
💎 gem stone	gem diamond jewel precious luxury rich crystal bling
⚖️ scales	balance scales justice legal weight court fair compare
🔧 wrench	wrench tool fix repair mechanic spanner adjust
🔨 hammer	hammer tool build nail hit construction pound
⛏️ pick	pickaxe mining dig tool minecraft rock excavation
🛠️ hammer and wrench	hammer wrench tools fix build repair workbench settings
🔩 nut and bolt	nut bolt hardware metal fastener threaded screw
⚙️ gear	gear cog settings mechanism machine options configuration
🧱 brick	brick wall build masonry construction minecraft red
⛓️ chains	chains links bound locked restraint heavy metal
🧲 magnet	magnet attraction magnetic attract physics pull iron
🔫 pistol	water pistol gun toy squirt weapon nerf shoot
💊 pill	pill medicine capsule drug pharmacy health take medication
💉 syringe	syringe shot vaccine injection needle drug jab medicine
🩸 drop of blood	blood drop period injury wound red donate menstrual
🧬 dna double helix	dna genetics biology helix science genes chromosome evolution
🔬 microscope	microscope science research lab examine cells study biology
🔭 telescope	telescope astronomy stars space observe stargaze planets
📡 satellite antenna	satellite antenna dish signal space communication radar
🧭 compass	compass navigation direction north orienteering guide magnet
🕳️ hole	hole empty pit void gap black cave burrow
🚪 door	door entrance exit entry open close gateway
🛋️ couch and lamp	couch sofa lounge living room sit relax furniture
🛏️ bed	bed sleep mattress bedroom rest hotel night
🧸 teddy bear	teddy bear plush toy cuddly comfort childhood soft
🖼️ frame with picture	framed picture art frame gallery painting wall decor
🛍️ shopping bags	shopping bags purchases retail spree bags buy mall
🎁 wrapped present	gift present birthday christmas surprise wrapped give
🎈 balloon	balloon party birthday celebration float decoration helium
🎉 party popper	party popper celebration congrats confetti yay new year hooray
🎊 confetti ball	confetti ball celebration party festival japanese event
🎋 tanabata tree	tanabata tree wish japanese festival bamboo stars july
🎍 pine decoration	pine decoration new year japanese kadomatsu gate
📦 package	package box shipping parcel delivery cardboard moving
📫 closed mailbox with raised flag	mailbox closed post mail letter flag delivery
📮 postbox	postbox mail drop letter send postal mailbox
📝 memo	memo note write pencil jot down note-taking list
✏️ pencil	pencil write edit draw sketch school stationery
📖 open book	open book reading study novel literature pages learn
📚 books	books stack library study reading education bookshelf knowledge
📰 newspaper	newspaper news press headlines journal media daily
🗞️ rolled-up newspaper	rolled newspaper news press article headline paper
📌 pushpin	pushpin pin location mark note important attach map
📎 paperclip	paperclip attach clip office hold papers stationery
🔗 link symbol	link chain url hyperlink connection web connect
🔒 lock	locked padlock secure private password lock safe encrypted
🔓 open lock	unlock padlock open access unlocked free released
🔑 key	key unlock password access door solution secret
🗝️ old key	old key vintage antique unlock skeleton rust door
🔨 hammer	hammer build construct hit nail tool pound wood
🪓 axe	axe chop wood lumberjack split hatchet viking timber
🛡️ shield	shield defense protection guard armor block security
⚔️ crossed swords	crossed swords battle fight duel war combat knights
🗡️ dagger knife	dagger knife blade stab short sword assassination stealth
🚬 smoking symbol	cigarette smoking smoke tobacco cancer lighter vice
⚰️ coffin	coffin funeral death burial casket RIP grave rest in peace
⚱️ funeral urn	urn ashes funeral death cremation remains memorial
🗿 moyai	moai statue easter island emoji stone face deadpan bruh
❤️ heavy black heart	red heart love like valentine romance passion favorite
🧡 orange heart	orange heart love care autumn warmth
💛 yellow heart	yellow heart friendship happy sunshine gold
💚 green heart	green heart nature envy healthy eco jealousy
💙 blue heart	blue heart loyalty trust calm sad navy
💜 purple heart	purple heart violet love twitch BTS army
🖤 black heart	black heart darkness emo gothic mourning dark mode
🩶 grey heart	grey heart silver neutral subtle gray
🤍 white heart	white heart pure innocence clean minimal peace
🤎 brown heart	brown heart coffee warm earthy chocolate
💔 broken heart	broken heart breakup sad divorce hurt rejected heartbreak
❣️ heavy heart exclamation mark ornament	heart exclamation heavy love emphasis valentine
💕 two hearts	two hearts couple love in love affection pair
💞 revolving hearts	revolving hearts couple spinning love whirl romance
💓 beating heart	beating heart pulse love heartbeat thumping alive
💗 growing heart	growing heart growing love affection expanding pulse
💖 sparkling heart	sparkling heart excitement sparkle glittery love shine
💘 heart with arrow	heart arrow cupid valentine love struck shot romance
💝 heart with ribbon	heart ribbon gift valentine love present ribbon wrapped
💯 hundred points symbol	hundred points perfect score 100 keep it real percent grade
💢 anger symbol	anger symbol frustration manga vein irritation annoyance
💥 collision symbol	collision boom explosion bang crash burst comic impact
💫 dizzy symbol	dizzy star dizzy sparkle shooting star woozy confusion
💦 splashing sweat symbol	sweat droplets splash water cum splashing drops
💨 dash symbol	dash away wind fast puff speed gone running gust
🕳️ hole	hole void empty pit gap missing burrow
💬 speech balloon	speech bubble comment chat talk message say dialogue
💭 thought balloon	thought bubble thinking dream imagine ponder thought
🗯️ right anger bubble	anger bubble rage shout yell anger speech
💤 sleeping symbol	zzz sleep sleepy tired snooze dreaming nap bedtime
✅ white heavy check mark	check mark yes done complete correct verified approved pass
☑️ ballot box with check	checkbox checked marked selected done tick completed
✔️ heavy check mark	check bold confirm correct agree verification done tick
❌ cross mark	cross x wrong no incorrect fail error cancel deny
❎ negative squared cross mark	cross button no reject decline cancel negative deny
⛔ no entry	no entry forbidden stop restricted blocked prohibited do not
🚫 no entry sign	prohibited banned forbidden not allowed no restrict blocked
⚠️ warning sign	warning caution attention careful danger hazard notice
🚸 children crossing	children crossing school caution kids zone slow
🔱 trident emblem	trident pitchfork poseidon omega neptune spear ukraine
⚜️ fleur-de-lis	fleur de lis france royal scout heraldic lily badge
🔰 japanese symbol for beginner	beginner japanese leaf novice start new badge shoshinsha
✳️ eight spoked asterisk	eight spoked asterisk star footnote reference multiply
✴️ eight pointed black star	eight pointed star starburst creation importance
❇️ sparkle	sparkle clean shiny glitter fresh new twinkle
©️ copyright sign	copyright copyright license intellectual property c reserved
®️ registered sign	registered trademark registered brand r intellectual
™️ trade mark sign	trademark tm brand trade mark intellectual property
🔴 large red circle	red circle stop record dot color warning live
🟠 large orange circle	orange circle dot color medium round
🟡 large yellow circle	yellow circle dot color warning round
🟢 large green circle	green circle dot online status available go ready
🔵 large blue circle	blue circle dot color info round
🟣 large purple circle	purple circle dot color round violet
⚫ medium black circle	black circle dot dark round hole
⚪ medium white circle	white circle dot light round blank
🟥 large red square	red square color block warning stop
🟧 large orange square	orange square color block medium
🟨 large yellow square	yellow square color block warning
🟩 large green square	green square color block go ready minecraft grass
🟦 large blue square	blue square color block info
🟪 large purple square	purple square color block violet
⬛ black large square	black square dark block void large
⬜ white large square	white square light block blank large
🔶 large orange diamond	large orange diamond shape rhombus gem
🔷 large blue diamond	large blue diamond shape rhombus gem
🔺 up-pointing red triangle	red triangle up increase grow delta warning rise
🔻 down-pointing red triangle	red triangle down decrease drop warning fall reduce
♻️ black universal recycling symbol	recycle recycle reuse eco green sustainable environment arrows
🌐 globe with meridians	globe internet web world global online www earth network
🕐 clock face one oclock	one oclock clock time hour late
🕑 clock face two oclock	two oclock clock time hour
🕒 clock face three oclock	three oclock clock time hour afternoon
🕓 clock face four oclock	four oclock clock time hour
🕔 clock face five oclock	five oclock clock time hour evening
🕕 clock face six oclock	six oclock clock time hour dinner
🕖 clock face seven oclock	seven oclock clock time hour evening
🕗 clock face eight oclock	eight oclock clock time hour morning work
🕘 clock face nine oclock	nine oclock clock time hour morning work
🕙 clock face ten oclock	ten oclock clock time hour night
🕚 clock face eleven oclock	eleven oclock clock time hour late
🕛 clock face twelve oclock	twelve oclock noon midnight clock time hour
♾️ permanent paper sign	infinity forever endless infinite loop unlimited eternal
‼️ double exclamation mark	double exclamation important urgent wow emphasize alarm
⁉️ exclamation question mark	interrobang question exclamation confused surprised what
❓ black question mark ornament	question red unknown ask help confused query what
❔ white question mark ornament	question white ask help query unclear wondering
❗ heavy exclamation mark symbol	exclamation important attention warning alert notice hey
〰️ wavy dash	wavy dash squiggle wave curve zigzag line
➕ heavy plus sign	plus add math positive create more new addition
➖ heavy minus sign	minus subtract math negative remove less delete
➗ heavy division sign	divide division math split share quotient slash
✖️ heavy multiplication x	multiply times math close cancel multiplication x
🟰 heavy equals sign	equals equal math same balance equality sign
🏁 chequered flag	checkered flag race finish start formula end goal
🚩 triangular flag on post	triangular flag red marker milestone warning golf target destination
🏴 waving black flag	black flag pirate anarchist mourning waving
🏳️ waving white flag	white flag surrender peace truce give up waive
🏳️‍🌈 waving white flag	rainbow flag pride lgbt gay queer flag
🏳️‍⚧️ waving white flag	transgender flag trans pride flag blue pink white
🏴‍☠️ waving black flag	pirate flag jolly roger skull bones treasure ship
🇺🇸 usa flag	usa flag united states america american stars stripes
🇬🇧 uk flag	uk flag united kingdom britain british union jack england
🇪🇺 eu flag	eu flag european union europe stars
🇩🇪 germany flag	germany flag german deutschland deutschland
🇫🇷 france flag	france flag french french paris baguette
🇮🇹 italy flag	italy flag italian italia pizza pasta
🇪🇸 spain flag	spain flag spanish espanol fiesta madrid
🇵🇹 portugal flag	portugal flag portuguese lisbon lisboa
🇸🇰 slovakia flag	slovakia flag slovak slovensko bratislava
🇨🇿 czechia flag	czechia flag czech prague cesko praha
🇵🇱 poland flag	poland flag polish warsaw polska
🇺🇦 ukraine flag	ukraine flag ukrainian kyiv support peace
🇷🇺 russia flag	russia flag russian moscow russian
🇯🇵 japan flag	japan flag japanese nippon tokyo rising sun anime
🇰🇷 south korea	south korea flag korean seoul kpop
🇨🇳 china flag	china flag chinese beijing mandarin prc
🇮🇳 india flag	india flag indian delhi bollywood hindi
🇧🇷 brazil flag	brazil flag brazilian rio soccer carnival
🇨🇦 canada flag	canada flag canadian maple ottawa hockey
🇦🇺 australia flag	australia flag aussie sydney kangaroo down under
